#HF transmitted power data for 2017-06-26
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

12:57:45.748,      ,000000,      ,000000,      ,000001,      ,000002,      ,000000,      ,000000,0.86301
12:57:46.769,      ,000000,      ,000000,      ,000000,      ,000000,      ,000000,      ,000002,0.61544
12:57:47.789,      ,000003,      ,000002,      ,000001,      ,000001,      ,000001,      ,000002,0.60639
12:57:48.810,      ,000000,      ,000000,      ,000000,      ,000001,      ,000001,      ,000000,0.65487
14:04:42.042,      ,000958,      ,000330,      ,000162,      ,000594,      ,000656,      ,000473,0.60846
14:04:43.073,      ,000994,      ,000342,      ,000166,      ,000591,      ,000654,      ,000470,0.60668
14:04:44.104,      ,000705,      ,000083,      ,000163,      ,000591,      ,000361,      ,000476,0.64404
14:04:45.136,      ,000817,      ,000329,      ,000153,      ,000584,      ,000652,      ,000844,0.61442
14:04:46.166,      ,000972,      ,000085,      ,000157,      ,000583,      ,000650,      ,000490,0.61711
14:04:47.197,      ,000975,      ,000335,      ,000161,      ,000585,      ,000648,      ,000477,0.60344
14:04:48.230,      ,000980,      ,000331,      ,000150,      ,000586,      ,000652,      ,000475,0.60907
14:04:49.260,      ,000804,      ,000336,      ,000157,      ,000582,      ,000655,      ,000490,0.61533
14:04:50.291,      ,000984,      ,000339,      ,000161,      ,000584,      ,000654,      ,000494,0.60553
14:04:51.320,      ,000981,      ,000344,      ,000160,      ,000580,      ,000647,      ,000475,0.60968
14:04:52.350,      ,001016,      ,000350,      ,000159,      ,000578,      ,000653,      ,000480,0.61065
14:04:53.382,      ,000802,      ,000341,      ,000158,      ,000805,      ,000552,      ,000817,0.64091
14:04:54.417,      ,000822,      ,000168,      ,000240,      ,000571,      ,000353,      ,000745,0.66705
14:04:55.452,      ,001002,      ,000348,      ,000161,      ,000582,      ,000651,      ,000806,0.61318
14:04:56.494,      ,001017,      ,000344,      ,000161,      ,000577,      ,000651,      ,000481,0.60768
14:04:57.525,      ,000880,      ,000332,      ,000151,      ,000583,      ,000653,      ,000494,0.60859
14:04:58.560,      ,000988,      ,000341,      ,000161,      ,000585,      ,000651,      ,000497,0.60405
14:04:59.590,      ,000996,      ,000334,      ,000237,      ,000576,      ,000648,      ,000485,0.60805
14:05:00.619,      ,000990,      ,000342,      ,000160,      ,001015,      ,000651,      ,000493,0.64722
14:05:01.650,      ,000815,      ,000345,      ,000161,      ,000580,      ,000649,      ,000481,0.61171
14:05:02.681,      ,000727,      ,000169,      ,000160,      ,000585,      ,000383,      ,000496,0.64393
14:05:03.717,      ,000965,      ,000378,      ,000246,      ,000965,      ,000388,      ,000835,0.71660
14:05:04.872,      ,000720,      ,000081,      ,000252,      ,000586,      ,000651,      ,000486,0.68581
14:05:05.903,      ,000837,      ,000344,      ,000161,      ,001004,      ,000355,      ,000503,0.64143
14:05:06.932,      ,001026,      ,000354,      ,000163,      ,000840,      ,000372,      ,000813,0.63962
14:05:07.963,      ,000727,      ,000133,      ,000247,      ,000581,      ,000657,      ,000824,0.65328
14:05:09.000,      ,001002,      ,000130,      ,000161,      ,000578,      ,000652,      ,000829,0.64451
14:05:10.042,      ,001007,      ,000097,      ,000252,      ,001013,      ,000357,      ,000483,0.65999
14:05:11.078,      ,000721,      ,000339,      ,000248,      ,000577,      ,000652,      ,000485,0.63351
14:05:12.108,      ,000799,      ,000090,      ,000255,      ,001007,      ,000361,      ,000491,0.71925
14:05:13.146,      ,000713,      ,000094,      ,000173,      ,001018,      ,000654,      ,000481,0.64677
14:05:14.181,      ,000720,      ,000097,      ,000257,      ,000948,      ,000529,      ,000497,0.70288
