#HF transmitted power data for 2017-07-07
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

20:18:25.710,
20:18:47.762,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.54719
20:18:48.311,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41796
20:19:04.646,000000,000000,001029,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.53322
20:19:05.181,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41429
20:21:18.278,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42433
20:21:18.782,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42038
20:21:44.030,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42446
20:21:44.534,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42856
20:21:45.038,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42610
20:21:45.541,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41095
20:21:46.045,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42722
20:22:08.270,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.54526
20:22:08.818,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43411
20:22:09.321,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42094
20:22:09.825,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41622
20:22:10.329,000000,000000,001030,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.44220
20:22:10.833,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42600
20:22:11.337,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41499
20:22:11.840,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.44107
20:22:12.344,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43113
20:22:12.848,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.43442
20:22:13.352,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41565
20:22:13.856,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41188
20:22:14.360,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.40279
20:22:14.863,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.41715
20:22:15.367,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42047
20:22:15.871,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.42146
20:23:17.555,000378,000298,000234,000000,000379,000000,000191,000000,000380,000000,000000,000000,0.54287
20:23:18.099,000379,000299,000237,000000,000379,000000,000191,000000,000380,000000,000000,000000,0.41179
20:23:18.603,000377,000300,000235,000000,000378,000000,000190,000000,000380,000000,000000,000000,0.42152
20:23:19.107,000375,000298,000235,000000,000381,000000,000191,000000,000380,000000,000000,000000,0.40414
20:23:19.611,000377,000299,000236,000000,000380,000000,000190,000000,000381,000000,000000,000000,0.42587
20:23:20.115,000375,000300,000236,000000,000377,000000,000191,000000,000380,000000,000000,000000,0.42994
20:23:20.619,000376,000304,000239,000000,000383,000000,000190,000000,000386,000000,000000,000000,0.42822
20:23:21.122,000384,000306,000239,000000,000387,000000,000194,000000,000386,000000,000000,000000,0.41995
20:23:21.626,000383,000303,000239,000000,000385,000000,000194,000000,000386,000000,000000,000000,0.41619
20:23:22.130,000381,000304,000239,000000,000384,000000,000194,000000,000386,000000,000000,000000,0.40193
20:23:22.633,000385,000305,000240,000000,000383,000000,000194,000000,000386,000000,000000,000000,0.39445
20:23:23.137,000383,000305,000238,000000,000385,000000,000194,000000,000386,000000,000000,000000,0.43412
20:23:23.641,000383,000302,000240,000000,000385,000000,000194,000000,000386,000000,000000,000000,0.40183
20:23:24.144,000382,000305,000240,000000,000385,000000,000194,000000,000387,000000,000000,000000,0.40695
20:23:24.648,000384,000305,000239,000000,000385,000000,000194,000000,000386,000000,000000,000000,0.42324
20:23:25.152,000383,000305,000239,000000,000386,000000,000194,000000,000387,000000,000000,000000,0.45041
20:23:25.655,000384,000308,000239,000000,000385,000000,000194,000000,000386,000000,000000,000000,0.42861
20:23:26.159,000385,000303,000241,000000,000382,000000,000194,000000,000386,000000,000000,000000,0.43829
20:23:26.663,000385,000305,000238,000000,000385,000000,000195,000000,000386,000000,000000,000000,0.42829
20:23:27.167,000383,000306,000239,000000,000383,000000,000194,000000,000386,000000,000000,000000,0.42986
20:23:27.670,000382,000306,000238,000000,000385,000000,000194,000000,000385,000000,000000,000000,0.44380
20:23:28.181,000380,000304,000239,000000,000383,000000,000194,000000,000386,000000,000000,000000,0.43040
20:23:28.685,000382,000304,000239,000000,000382,000000,000194,000000,000386,000000,000000,000000,0.42663
20:28:10.687,000387,000309,000242,000000,000390,000000,000197,000000,000391,000000,000000,000000,0.51741
20:28:11.208,000387,000309,000243,000000,000389,000000,000197,000000,000390,000000,000000,000000,0.41599
20:28:11.711,000386,000308,000243,000000,000390,000000,000197,000000,000390,000000,000000,000000,0.43220
20:28:12.230,000386,000305,000241,000000,000389,000000,000196,000000,000390,000000,000000,000000,0.40303
20:28:12.734,000387,000309,000242,000000,000388,000000,000197,000000,000391,000000,000000,000000,0.40948
20:28:13.238,000389,000308,000241,000000,000389,000000,000197,000000,000391,000000,000000,000000,0.42866
20:28:13.742,000386,000310,000240,000000,000392,000000,000197,000000,000390,000000,000000,000000,0.41096
20:28:14.246,000387,000307,000242,000000,000391,000000,000196,000000,000391,000000,000000,000000,0.41716
20:28:14.749,000388,000307,000243,000000,000390,000000,000196,000000,000390,000000,000000,000000,0.41461
20:28:15.253,000386,000308,000241,000000,000389,000000,000196,000000,000390,000000,000000,000000,0.42057
20:28:15.757,000390,000309,000242,000000,000389,000000,000197,000000,000390,000000,000000,000000,0.42691
20:28:16.260,000388,000310,000241,000000,000391,000000,000196,000000,000391,000000,000000,000000,0.41239
20:28:23.880,000389,000310,000241,000000,000390,000000,000197,000000,000391,000000,000000,000000,0.42330
20:28:24.384,000388,000309,000243,000000,000388,000000,000196,000000,000391,000000,000000,000000,0.41949
20:28:24.888,000387,000309,000243,000000,000391,000000,000197,000000,000391,000000,000000,000000,0.40442
20:28:25.392,000387,000307,000240,000000,000388,000000,000196,000000,000390,000000,000000,000000,0.39707
20:28:25.896,000388,000308,000241,000000,000389,000000,000197,000000,000390,000000,000000,000000,0.41768
