#HF transmitted power data for 2017-07-13
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

16:40:37.010,000192,000000,012203,000000,000194,000000,000000,153957,000000,096338,000000,000194,0.41853
16:40:37.995,000191,000000,012128,000000,000193,000000,000000,152194,000000,097341,000000,000194,0.41729
16:40:38.980,000191,000000,012125,000000,000192,000000,000000,153603,000000,096783,000000,000194,0.41910
16:40:38.980,000191,000000,012125,000000,000192,000000,000000,153603,000000,096783,000000,000194,0.41910
16:40:39.966,000190,000000,012220,000000,000194,000000,000000,153391,000000,096161,000000,000195,0.44293
16:40:40.951,000191,000000,012164,000000,000193,000000,000000,152370,000000,096294,000000,000195,0.40856
16:40:41.936,000190,000000,012125,000000,000192,000000,000000,153744,000000,096449,000000,000195,0.43338
16:40:42.921,000191,000000,012156,000000,000193,000000,000000,152580,000000,096072,000000,000195,0.40371
17:21:38.897,000192,000000,012092,000000,000193,000000,000000,153320,000000,095962,000000,000194,0.42258
17:21:39.882,000192,000000,012119,000000,000192,000000,000000,152019,000000,096827,000000,000194,0.41190
17:21:40.867,000191,000000,012192,000000,000193,000000,000000,154774,000000,096050,000000,000194,0.41146
17:21:41.852,000191,000000,012206,000000,000194,000000,000000,153108,000000,097006,000000,000196,0.41713
