#HF transmitted power data for 2017-07-21
#HH:MM:SS.SSS, Tx1 , Tx2  , Tx3  , Tx4  , Tx5  , Tx6  , Rx1  , Rx2  , Rx3  , Rx4  , Rx5  , Rx6  , time to take sample

15:05:15.138,001328,001327,001327,001326,001325,001325,001327,001327,001327,001326,001325,001325,0.39310
15:05:15.536,001325,001325,001325,001326,001325,001325,001327,001325,001325,001326,001325,001325,0.37632
15:05:15.916,001325,001325,001325,001326,001325,001325,001327,001325,001325,001326,001325,001325,0.40235
15:05:15.916,001325,001325,001325,001326,001325,001325,001325,001325,001325,001326,001325,001325,0.40235
15:05:16.323,001327,001327,001327,001327,001327,001327,001325,001327,001327,001327,001327,001327,0.36898
15:05:16.696,001327,001327,001327,001327,001327,001327,001325,001327,001327,001327,001327,001327,0.38658
15:05:17.087,001327,001327,001327,001328,001328,001328,001325,001327,001327,001328,001328,001328,0.38484
15:05:17.476,001327,001328,001328,001328,001328,001328,001325,001328,001328,001328,001328,001328,0.39598
15:05:17.877,001325,001328,001328,001328,001328,001328,001325,001328,001328,001328,001328,001328,0.37542
15:05:18.271,001325,001328,001328,001328,001328,001328,001325,001328,001328,001328,001328,001328,0.39076
15:05:18.666,001325,001328,001328,001328,001328,001328,001328,001328,001328,001328,001328,001328,0.38639
15:05:19.056,001325,001328,001325,001326,001325,001325,001328,001328,001325,001326,001325,001325,0.37538
15:05:19.436,001325,001325,001325,001326,001325,001325,001328,001325,001325,001326,001325,001325,0.39040
15:05:19.831,001325,001325,001325,001326,001325,001325,001328,001325,001325,001326,001325,001325,0.37115
15:05:20.206,001328,001325,001325,001326,001325,001325,001328,001325,001325,001326,001325,001325,0.39206
15:05:20.602,000000,001325,001325,000000,001325,000000,001325,001325,001325,000000,001325,000000,0.38411
15:05:20.991,000000,001325,000000,000137,001327,001327,000000,001325,000000,000137,001327,001327,0.38111
15:05:21.376,000000,000000,001327,000137,001327,001327,000000,000000,001327,000137,001327,001327,0.37520
15:05:21.755,000000,001327,001327,000000,001327,000000,000000,001327,001327,000000,001327,000000,0.39703
15:05:22.158,001325,001325,001325,000000,000000,000000,001325,001325,001325,000000,000000,000000,0.38466
15:05:22.547,001325,001325,000000,000000,001325,001325,000000,001325,000000,000000,001325,001325,0.39463
15:05:22.945,000000,000000,000000,000000,000000,001327,000000,000000,000000,000000,000000,001327,0.41573
15:05:23.369,000000,001327,000000,000000,000000,001327,000000,001327,000000,000000,000000,001327,0.40978
15:05:23.783,001325,001327,000000,000000,000000,000000,001325,001327,000000,000000,000000,000000,0.38943
15:05:24.177,000000,001325,000000,000000,001325,001325,000000,001325,000000,000000,001325,001325,0.36482
15:05:24.546,000000,000000,000000,000137,001325,000000,000000,000000,000000,000137,001325,000000,0.36668
15:05:24.918,000000,000000,001328,000000,001328,001328,000000,000000,001328,000000,001328,001328,0.38457
15:05:25.307,000000,001328,000000,000137,001328,001328,000000,001328,000000,000137,001328,001328,0.37470
15:05:25.686,000000,001328,000000,000000,001328,001328,001325,001328,000000,000000,001328,001328,0.39600
15:05:26.086,001325,001328,000000,000000,000000,000000,000000,001328,000000,000000,000000,000000,0.42148
15:05:26.512,000000,000000,000000,000000,000000,001328,000000,000000,000000,000000,000000,001328,0.39025
15:05:26.906,000000,001327,000000,000000,000000,000000,001325,001327,000000,000000,000000,000000,0.37597
15:05:27.286,000000,001327,000000,000000,000000,000000,000000,001327,000000,000000,000000,000000,0.40599
15:05:27.698,001325,001327,000000,000000,000000,000000,001325,001327,000000,000000,000000,000000,0.37529
15:05:28.079,000000,001328,000000,000137,000000,000000,001325,001328,000000,000137,000000,000000,0.38366
15:05:28.475,001325,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.39787
15:05:28.879,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.38396
15:05:29.268,001325,000000,001327,000000,001327,000000,000000,000000,001327,000000,001327,000000,0.38434
15:05:29.657,000000,001327,000000,000137,000000,000000,000000,001327,000000,000137,000000,000000,0.37573
15:05:30.037,000000,000000,000000,000000,000000,000000,001325,000000,000000,000000,000000,000000,0.39158
15:05:30.432,000000,001325,001325,000137,000000,001325,000000,001325,001325,000137,000000,001325,0.38876
15:05:30.825,000000,001325,000000,000000,000000,001325,000000,001325,000000,000000,000000,001325,0.40627
15:05:31.236,000000,001325,000000,000000,000000,000000,000000,001325,000000,000000,000000,000000,0.41283
15:05:31.653,000000,000000,001327,000000,000000,000000,001325,000000,001327,000000,000000,000000,0.38984
15:05:32.047,001325,001327,001327,000000,001327,001327,000000,001327,001327,000000,001327,001327,0.39490
15:05:32.446,000000,000000,000000,000000,001327,000000,000000,000000,000000,000000,001327,000000,0.40611
15:05:32.856,000000,001327,001327,000000,001327,001327,000000,001327,001327,000000,001327,001327,0.40237
15:05:33.263,001325,000000,001327,000137,001327,000000,000000,000000,001327,000137,001327,000000,0.38980
15:05:33.693,000000,000000,000000,000137,000000,001327,000000,000000,000000,000137,000000,001327,0.41856
15:05:34.116,000000,001327,000000,000000,001327,000000,001325,001327,000000,000000,001327,000000,0.36641
15:05:34.492,001325,000000,000000,000137,001328,001328,000000,000000,000000,000137,001328,001328,0.37950
15:05:34.876,000000,000000,000000,000137,001328,000000,000000,000000,000000,000137,001328,000000,0.39775
15:05:35.279,000000,001328,000000,000137,000000,001325,000000,001328,000000,000137,000000,001325,0.39251
15:05:35.676,000000,001325,000000,000137,000000,001325,000000,001325,000000,000137,000000,001325,0.38586
15:05:36.066,001325,001325,000000,000000,001325,000000,001325,001325,000000,000000,001325,000000,0.42246
15:05:36.492,000000,000000,001327,000000,000000,000000,000000,000000,001327,000000,000000,000000,0.37991
15:05:36.876,000000,001327,001327,000000,000000,000000,000000,001327,001327,000000,000000,000000,0.38604
15:05:37.267,000000,001327,000000,000137,000000,001325,000000,001327,000000,000137,000000,001325,0.38547
15:05:37.656,001325,001325,001325,000000,001325,000000,000000,001325,001325,000000,001325,000000,0.37621
15:05:38.037,000000,001325,000000,000137,000000,000000,001325,001325,000000,000137,000000,000000,0.37582
15:05:38.417,000000,000000,000000,000137,000000,000000,000000,000000,000000,000137,000000,000000,0.40663
15:05:38.831,000000,000000,000000,000000,000000,001327,000000,000000,000000,000000,000000,001327,0.39088
15:05:39.226,000000,001327,001327,000000,000000,001328,001325,001327,001327,000000,000000,001328,0.38371
15:05:39.614,001325,000000,001328,000000,001328,001328,000000,000000,001328,000000,001328,001328,0.37840
15:05:39.996,000000,001328,001328,000137,001328,001328,000000,001328,001328,000137,001328,001328,0.37558
15:05:40.376,000000,000000,000000,000000,000000,001327,000000,000000,000000,000000,000000,001327,0.39545
15:05:40.776,001325,001327,000000,000137,001327,001327,000000,001327,000000,000137,001327,001327,0.40601
15:05:41.186,000000,000000,000000,000000,000000,001327,001325,000000,000000,000000,000000,001327,0.38513
15:05:41.575,000000,001327,001327,000137,001327,001327,000000,001327,001327,000137,001327,001327,0.39642
15:05:41.976,001325,001327,001327,000137,001327,000000,000000,001327,001327,000137,001327,000000,0.37658
15:05:42.357,000000,001327,001327,000000,000000,000000,000000,001327,001327,000000,000000,000000,0.37625
15:05:42.738,000000,001327,000000,000137,000000,000000,000000,001327,000000,000137,000000,000000,0.38426
15:05:43.128,001325,000000,001327,000000,001327,000000,001327,000000,001327,000000,001327,000000,0.38059
15:05:43.513,000000,001327,000000,000000,001327,001327,000000,001327,000000,000000,001327,001327,0.37823
15:05:43.904,001327,000000,000000,000000,001325,000000,000000,000000,000000,000000,001325,000000,0.41434
15:05:44.323,000000,001325,000000,000000,000000,000000,000000,001325,000000,000000,000000,000000,0.41613
15:05:44.743,001325,000000,000000,000000,000000,000000,001327,000000,000000,000000,000000,000000,0.38619
15:05:45.133,000000,001327,001327,000137,000000,000000,000000,001327,001327,000137,000000,000000,0.41939
15:05:45.558,000000,000000,001327,000000,000000,000000,000000,000000,001327,000000,000000,000000,0.37384
15:05:45.936,000000,001327,000000,000000,000000,000000,001327,001327,000000,000000,000000,000000,0.37511
15:05:46.315,000000,000000,000000,000000,001325,001325,000000,000000,000000,000000,001325,001325,0.39573
15:05:46.715,001325,000000,000000,000000,000000,001325,001325,000000,000000,000000,000000,001325,0.40704
15:05:47.127,000000,000000,000000,000000,000000,001325,000000,000000,000000,000000,000000,001325,0.39464
15:05:47.525,000000,001325,000000,000000,000000,001325,000000,001325,000000,000000,000000,001325,0.38597
15:05:47.916,000000,001325,000000,000000,001327,001327,000000,001325,000000,000000,001327,001327,0.42686
15:05:48.348,001325,001327,000000,000000,001327,001327,000000,001327,000000,000000,001327,001327,0.38392
15:05:48.736,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.39558
15:05:49.136,000000,001327,000000,000000,000000,000000,000000,001327,000000,000000,000000,000000,0.41632
15:05:49.556,000000,000000,001327,000000,000000,001327,000000,000000,001327,000000,000000,001327,0.36489
15:05:49.926,000000,000000,000000,000137,001327,000000,001327,000000,000000,000137,001327,000000,0.36777
15:05:50.299,001327,001327,001327,000137,000000,001327,000000,001327,001327,000137,000000,001327,0.36206
15:05:50.665,000000,000000,001327,000000,000000,000000,000000,000000,001327,000000,000000,000000,0.38745
15:05:51.058,000000,001327,000000,000137,001327,000000,001325,001327,000000,000137,001327,000000,0.35419
15:05:51.417,000000,000000,001327,000137,000000,000000,000000,000000,001327,000137,000000,000000,0.40571
15:05:51.828,000000,001327,001327,000000,001327,000000,000000,001327,001327,000000,001327,000000,0.38487
15:05:52.218,001325,000000,000000,000137,001327,001327,001325,000000,000000,000137,001327,001327,0.39076
15:05:52.613,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0.39894
15:05:53.017,000000,001327,001327,000000,000000,001327,000000,001327,001327,000000,000000,001327,0.36521
15:05:53.386,000000,000000,000000,000137,000000,000000,000000,000000,000000,000137,000000,000000,0.40246
15:05:53.793,000000,001328,001328,000000,001328,000000,000000,001328,001328,000000,001328,000000,0.36961
15:05:54.176,000000,000000,000000,000000,001328,001328,001325,000000,000000,000000,001328,001328,0.38578
15:05:54.566,001327,001328,000000,000000,000000,001325,000000,001328,000000,000000,000000,001325,0.41550
15:05:54.986,001327,000000,001325,000000,001325,001325,000000,000000,001325,000000,001325,001325,0.37575
15:05:55.366,001327,001325,000000,000000,000000,000000,001325,001325,000000,000000,000000,000000,0.39695
15:05:55.768,000000,001327,001327,000137,001327,001327,000000,001327,001327,000137,001327,001327,0.38340
15:05:56.155,000000,001327,001327,000137,001327,000000,000000,001327,001327,000137,001327,000000,0.36698
15:05:56.528,000000,001327,000000,000000,000000,001327,001325,001327,000000,000000,000000,001327,0.39329
15:05:56.925,000000,001327,000000,000137,000000,000000,000000,001327,000000,000137,000000,000000,0.36712
15:05:57.298,000000,000000,000000,000000,001327,001327,000000,000000,000000,000000,001327,001327,0.39345
15:05:57.696,001327,001327,000000,000000,001327,001327,000000,001327,000000,000000,001327,001327,0.38490
15:05:58.085,000000,000000,001327,000137,001327,000000,000000,000000,001327,000137,001327,000000,0.39775
15:05:58.488,000000,000000,001327,000137,001327,000000,000000,000000,001327,000137,001327,000000,0.39488
15:05:58.889,000000,000000,000000,000000,001327,000000,000000,000000,000000,000000,001327,000000,0.39411
15:05:59.290,000000,000000,000000,000000,000000,000000,001325,000000,000000,000000,000000,000000,0.37264
15:05:59.668,000000,001327,000000,000137,000000,001327,000000,001327,000000,000137,000000,001327,0.38446
15:06:00.057,000000,001327,001327,000000,001327,000000,000000,001327,001327,000000,001327,000000,0.37562
15:06:00.437,001327,001327,000000,000000,000000,001325,000000,001327,000000,000000,000000,001325,0.41560
15:06:00.857,000000,001325,000000,000000,000000,000000,000000,001325,000000,000000,000000,000000,0.40622
15:06:01.269,000000,001325,000000,000137,001328,001328,000000,001325,000000,000137,001328,001328,0.39285
